,travel_time,queue,throughput,speed,spillback,co2_rate_mg
Без алгоритма,291.51605210869155,90.84912037037039,39.16388888888889,3.0402110280610564,42.21666666666666,19900261.039707437
Gridlock (MPC),171.04628936387618,29.85138888888889,38.975,3.8928970542712196,0.075,13790681.722797358
Offset + Split,141.57218079080275,31.051499999999997,48.10000000000001,4.887165278232959,0.29000000000000004,14531030.504801163
Только Offset,158.55128629442837,33.6215,45.96999999999999,4.2940649048265875,0.93,15255734.955993254
