time,travel_time,queue,throughput,speed,spillback,co2_rate_mg
60.0,33.25,7.3,8,7.372252930373325,0,6559838.703637316
120.0,49.96,28.733333333333334,25,4.869213949856436,0,12751577.540592514
180.0,108.70370370370371,27.883333333333333,54,6.637088539096243,0,17670245.259384036
240.0,100.82,42.71666666666667,50,3.6761934510597842,0,15750090.592777122
300.0,129.11666666666667,37.4,60,5.729011995355985,0,20214199.081125394
360.0,132.98333333333332,40.2,60,4.156880183806892,0,17615030.45586256
420.0,120.27272727272727,47.166666666666664,44,4.77182195868591,0,20082673.616598126
480.0,166.0,33.05,74,4.838256114259752,0,19611289.133982465
540.0,91.26470588235294,52.9,34,3.688099464690467,0,19967995.162999917
600.0,183.87640449438203,32.38333333333333,89,5.878738921775055,0,22415989.672067124
660.0,82.8780487804878,46.166666666666664,41,3.420552534167965,0,18509195.97552528
720.0,169.28378378378378,37.13333333333333,74,6.083909522677714,0,24158653.45070511
780.0,130.21818181818182,46.21666666666667,55,3.1896018735144693,0,19337219.848867938
840.0,127.9622641509434,52.53333333333333,53,4.907395684424783,0,24180654.59958579
900.0,173.05405405405406,44.4,74,4.030777545091261,0,22556292.423080258
960.0,138.0222222222222,64.15,45,4.027804129308127,0,24304132.639273897
1020.0,219.1931818181818,40.8,88,4.3732363353229795,0,22371505.72547153
1080.0,108.06451612903226,55.516666666666666,31,3.388128877078069,0,21752552.625932593
1140.0,221.45348837209303,41.266666666666666,86,4.954072189241304,0,23188825.596727394
1200.0,94.95238095238095,47.61666666666667,42,2.9048215077052855,0,19233245.047470335
1260.0,185.2,38.31666666666667,80,5.736703114886229,0,24492656.737045
1320.0,193.0909090909091,48.233333333333334,44,3.103120847542611,0,19265654.194706064
1380.0,146.5820895522388,52.25,67,5.0951411028034705,0,25206811.871147152
1440.0,186.67164179104478,46.3,67,3.7268000347522867,0,21197556.35671264
1500.0,149.7608695652174,59.833333333333336,46,4.179723012677217,0,23911611.59791218
1560.0,200.8139534883721,45.05,86,4.47948139607413,0,23178962.06087811
1620.0,133.14285714285714,60.31666666666667,35,3.419550442243311,0,23311693.29364538
1680.0,232.9787234042553,44.38333333333333,94,4.984039123538446,0,24864310.300774883
1740.0,112.67391304347827,55.36666666666667,46,2.7344030154292556,0,20193195.70141844
1800.0,179.90540540540542,42.53333333333333,74,5.2308903023982,0,24374691.695252676
1860.0,181.1320754716981,46.93333333333333,53,3.0998323181894363,0,19590646.206793573
1920.0,144.96969696969697,49.38333333333333,66,5.0689697848848505,0,24509214.57875963
1980.0,242.87878787878788,44.7,66,3.899863918601601,0,21682679.385168243
2040.0,138.9090909090909,60.766666666666666,44,4.300219308791588,0,23621597.79162209
2100.0,186.93333333333334,45.15,90,4.662986350169332,0,23650081.639313195
2160.0,143.35294117647058,59.86666666666667,34,3.4662145001878013,0,22654512.864276294
2220.0,194.29347826086956,47.46666666666667,92,4.965102794599353,0,23978938.662129514
2280.0,97.2,58.85,35,2.8637646575857527,0,21000184.992844414
2340.0,232.3975903614458,52.8,83,4.745978289691988,0,24381571.595086537
2400.0,156.16326530612244,53.95,49,3.516407035357195,0,22071977.13715626
2460.0,170.68055555555554,57.06666666666667,72,4.3722629422663575,0,24919850.13019693
2520.0,214.86764705882354,45.36666666666667,68,3.720811459983743,0,21073219.465861976
2580.0,141.04255319148936,54.85,47,4.0811167523445375,0,23140503.08695315
2640.0,229.73972602739727,44.11666666666667,73,4.119620770973561,0,20896851.093359664
2700.0,101.48387096774194,52.43333333333333,31,3.504092457997039,0,21621287.774299648
2760.0,227.13253012048193,40.85,83,4.881800933192024,0,23027234.977286745
2820.0,121.16666666666667,53.15,42,2.8563037498286237,0,20353657.503132038
2880.0,177.27272727272728,48.516666666666666,77,5.231962712861971,1,24719460.727039814
2940.0,213.0,51.1,47,3.024783821408761,0,20296836.583693538
3000.0,194.18840579710144,55.96666666666667,69,4.647343451966521,0,24396039.32565419
3060.0,180.26785714285714,47.81666666666667,56,3.495574841504796,0,21308099.711058572
3120.0,169.54347826086956,57.86666666666667,46,3.8551450424281226,0,23716828.997212682
3180.0,229.6027397260274,52.733333333333334,73,4.1038653116398836,0,22626622.42859086
3240.0,128.66666666666666,60.35,33,3.5387996098287755,0,23107029.857896984
3300.0,218.1931818181818,50.583333333333336,88,4.495668083993983,0,24120628.810325623
3360.0,136.33333333333334,66.43333333333334,36,3.264138726115429,0,22807153.32397095
3420.0,227.30337078651687,43.9,89,4.71913661518369,0,25145329.405632835
3480.0,122.21428571428571,55.71666666666667,56,3.235937874301045,0,21954070.558155842
3540.0,200.24324324324326,56.63333333333333,74,4.4094549089639195,0,24927059.106662575
3600.0,181.7910447761194,47.583333333333336,67,3.8640473903674026,0,21677981.279462423
3660.0,145.69565217391303,54.61666666666667,46,3.757883320356632,0,20769682.197035033
3720.0,267.85074626865674,34.6,67,4.272350835062831,0,16736886.220302362
3780.0,123.14285714285714,44.11666666666667,21,2.4595019286684376,0,14163013.810882369
3840.0,249.55555555555554,28.45,63,4.82694105390987,0,14890084.419039916
3900.0,117.35714285714286,39.1,28,3.238534495998494,0,13312867.182290586
3960.0,269.0,31.0,56,4.352586538157015,0,13575699.502945373
4020.0,152.4857142857143,18.766666666666666,35,3.6872873744207935,0,10319326.963223733
4080.0,382.81481481481484,26.366666666666667,27,4.035128437053703,0,11432241.352331594
4140.0,145.5531914893617,16.733333333333334,47,4.026341242322488,0,10619917.35862149
4200.0,171.1,25.416666666666668,20,3.583104496665105,0,9829029.345178515
4260.0,178.2127659574468,22.95,47,3.6834606710328845,0,10884100.784911059
4320.0,100.66666666666667,16.05,21,3.8856195963538123,0,9543589.28178049
4380.0,192.14285714285714,27.55,42,4.368157743453528,0,12566255.13207353
4440.0,112.34285714285714,15.233333333333333,35,3.8652152454261963,0,9773667.347243363
4500.0,132.15,32.516666666666666,20,4.214871807947897,0,11896146.006100886
4560.0,174.90384615384616,13.783333333333333,52,3.7975954331865616,0,9154356.901554795
4620.0,120.9,26.75,20,5.311171990823108,3,10380309.732613225
4680.0,187.90740740740742,9.716666666666667,54,4.343939015466426,0,9898271.599545894
4740.0,106.80952380952381,12.35,21,5.494247381329746,0,7432000.0326523855
4800.0,153.6764705882353,15.216666666666667,34,4.1825872088205465,0,9857990.07808941
4860.0,102.4375,10.716666666666667,32,5.031036177043114,0,7078690.021343418
4920.0,148.34782608695653,21.633333333333333,23,4.507466392879151,5,8528986.131710688
4980.0,127.88888888888889,7.083333333333333,45,5.235445633414521,0,6221339.536280353
5040.0,31.0,21.583333333333332,1,3.802120427927517,0,6434604.059990566
5100.0,151.90697674418604,2.066666666666667,43,4.808518054446817,0,4847988.51027511
5160.0,nan,8.066666666666666,0,3.839239971228784,0,2947115.5290091294
5220.0,201.2941176470588,1.4,17,2.5828411080097777,0,2954788.742707975
5280.0,nan,3.316666666666667,0,4.181138802126374,0,2465965.9427241315
5340.0,203.66666666666666,4.716666666666667,15,2.1924013304472565,0,3034383.6949072788
5400.0,nan,0.8333333333333334,0,3.408064413312654,0,2256882.5455992986
5460.0,225.5,7.216666666666667,10,2.7316245550102622,0,3304911.375557459
5520.0,188.4,0.0,5,1.7494206821007825,0,1979498.0186000536
5580.0,nan,8.416666666666666,0,3.2167676196706405,0,3281612.2591562574
5640.0,211.1875,0.0,16,1.9372551765054808,0,2232722.5451781284
5700.0,nan,6.65,0,3.6889586883811414,0,2731290.9195157224
5760.0,204.8,1.0333333333333334,15,2.325817173991457,0,2794940.7255694354
5820.0,nan,3.15,0,4.180337397698467,0,2526896.1098002153
5880.0,211.6,4.383333333333334,15,2.2132275063913873,0,3034569.4643825768
5940.0,nan,0.8,0,3.3898314339032054,0,2253101.470505332
6000.0,230.22222222222223,6.716666666666667,9,2.7703350481223312,0,3212917.1411997983
6060.0,187.83333333333334,0.0,6,1.7529026987071321,0,1986379.2332808843
6120.0,nan,8.033333333333333,0,3.4928365870090405,0,2874787.4071736224
6180.0,211.4375,0.0,16,2.8338814238575214,0,1557799.1761939048
6240.0,nan,5.983333333333333,0,4.39445060811292,0,1284567.5398511984
