,time,travel_time,queue,throughput,speed,spillback,co2_rate_mg
NoAlgo,3151.0,274.534566499641,101.52877358490566,43.367924528301884,2.994251645083605,47.79245283018868,22264126.686504457
Gridlock,3150.0,165.54636600797974,33.904807692307685,44.125,4.012032319632691,0.08653846153846154,15616035.320285428
OffsetSplit,2521.0,137.69266330874262,34.98823529411764,54.04705882352941,4.99150561752435,0.3411764705882353,16452425.52326722
OffsetOnly,2971.0,155.51035878428345,33.6215,45.97,4.294064904826588,0.93,15255734.955993254
