time,travel_time,queue,throughput,speed,spillback,co2_rate_mg
1.0,nan,0.0,0,0.0,0,12168.0
61.0,33.0,6.55,8,7.746713128366415,0,6962661.069673996
121.0,53.55172413793103,26.733333333333334,29,4.95210844322218,0,12330581.523865817
181.0,91.05882352941177,43.916666666666664,34,5.266368101376179,4,17044480.04575395
241.0,122.1470588235294,41.766666666666666,68,5.248896430422146,0,20518796.540183436
301.0,126.5774647887324,54.8,71,5.144917143031766,2,21079158.128984775
361.0,145.9041095890411,33.85,73,5.544449705656952,0,20260060.79115244
421.0,126.86440677966101,48.7,59,4.797290594492081,0,18932877.072351377
481.0,131.1060606060606,39.1,66,5.81247978373681,0,21987754.07276967
541.0,121.35384615384615,46.88333333333333,65,4.560863843767646,0,19905893.55721521
601.0,151.45714285714286,40.083333333333336,70,5.992528589311871,0,22092028.023464195
661.0,115.79411764705883,42.6,68,4.470053182255193,0,19166131.009713694
721.0,140.0142857142857,46.53333333333333,70,6.184166257814673,0,22880422.410983767
781.0,153.42028985507247,43.93333333333333,69,4.60149338129251,2,20798361.495633885
841.0,119.67567567567568,55.06666666666667,74,5.255966480559429,0,22349738.314731065
901.0,170.3913043478261,39.266666666666666,69,5.420798202273805,0,21743294.593669318
961.0,127.25,56.18333333333333,68,4.706262627220527,0,20912171.224085923
1021.0,161.53731343283582,41.45,67,5.700898032609861,0,22454543.34709299
1081.0,140.75,52.416666666666664,60,4.360573336054372,0,19917417.788255084
1141.0,144.7391304347826,47.9,69,5.65651633890634,0,22830980.492291376
1201.0,134.64102564102564,49.083333333333336,78,4.596701987119309,0,20864720.33511603
1261.0,162.28169014084506,47.45,71,5.865984064925161,0,22908989.180072285
1321.0,147.61971830985917,45.61666666666667,71,4.675659126185286,0,20467881.351072885
1381.0,133.6891891891892,52.4,74,5.36031292977806,0,22374840.607549466
1441.0,155.31506849315068,32.81666666666667,73,5.615712785617592,0,21565883.96537084
1501.0,122.94117647058823,53.483333333333334,68,4.764548810586451,0,20497517.291278157
1561.0,160.27397260273972,33.45,73,5.732626963658354,0,21072789.86363954
1621.0,123.26785714285714,48.833333333333336,56,4.422442620567725,0,18964659.359389108
1681.0,153.97058823529412,41.65,68,5.740057908185436,0,21086889.69227776
1741.0,133.91935483870967,41.9,62,4.559221062206687,0,18860577.06748027
1801.0,151.13432835820896,43.266666666666666,67,6.20996381735827,0,22377556.22076559
1861.0,142.23287671232876,41.766666666666666,73,4.794255074046968,0,19987403.43811738
1921.0,133.6338028169014,52.28333333333333,71,5.4724291469998425,0,21512903.694223177
1981.0,151.92753623188406,33.78333333333333,69,5.414144285512525,0,19884932.160373066
2041.0,136.89830508474577,51.71666666666667,59,4.801306814609424,0,20013808.240792435
2101.0,137.015625,40.233333333333334,64,5.444083914111001,1,20894145.654757094
2161.0,139.27777777777777,50.2,54,4.240191537340768,0,19099288.951970264
2221.0,152.39705882352942,43.083333333333336,68,5.769867912005631,0,21263661.025636766
2281.0,144.33870967741936,44.88333333333333,62,4.204704604594128,0,18341329.069009922
2341.0,158.44285714285715,41.05,70,6.009497805312782,0,21999594.325386006
2401.0,140.29166666666666,37.516666666666666,72,4.901299340796876,0,19387881.097377036
2461.0,126.95384615384616,53.916666666666664,65,5.331829110664895,0,22124647.964294437
2521.0,157.54166666666666,35.88333333333333,72,5.602536450442127,2,22326142.243006863
2581.0,128.7826086956522,55.25,69,4.753472488786274,0,21148796.36598829
2641.0,148.57971014492753,38.083333333333336,69,5.623055869418547,7,21588888.1820864
2701.0,137.8181818181818,49.13333333333333,55,4.513392364596887,0,19055231.36028541
2761.0,149.64,42.43333333333333,75,5.860719573331778,0,22157525.855731614
2821.0,134.85714285714286,43.166666666666664,70,4.691107180062053,0,19789374.276962515
2881.0,152.13636363636363,43.78333333333333,66,6.0280588117036755,0,22017198.375429038
2941.0,140.22972972972974,40.11666666666667,74,4.97438970977809,0,20661041.636182312
3001.0,125.72222222222223,53.4,72,5.450970299862891,0,22229537.256676946
3061.0,147.78666666666666,37.65,75,5.59187376641602,0,22302502.067543037
3121.0,131.73611111111111,53.81666666666667,72,4.915560663111079,0,21219938.77891691
3181.0,148.56521739130434,43.2,69,5.481188949424918,3,21976332.5663282
3241.0,129.11111111111111,53.3,63,4.392397873539929,0,19991448.58055332
3301.0,155.9718309859155,40.666666666666664,71,5.878073782955306,0,22116083.118546434
3361.0,135.80555555555554,44.75,72,4.518585575023292,0,19796079.498407997
3421.0,148.52857142857144,44.0,70,5.923156901154549,0,22290649.653954305
3481.0,141.96,36.733333333333334,75,4.871518118298593,0,19442514.89161769
3541.0,125.17647058823529,48.38333333333333,68,5.472096456351521,0,21288046.802602876
3601.0,150.22222222222223,31.433333333333334,72,5.693094403316792,0,21295535.273307778
3661.0,130.72131147540983,45.81666666666667,61,4.646714589852592,0,17180753.281248383
3721.0,170.72222222222223,25.683333333333334,54,4.85038272687979,5,14016386.650659358
3781.0,145.95555555555555,13.783333333333333,45,4.618408492913035,0,9753957.726623148
3841.0,223.7037037037037,23.283333333333335,27,4.32326338168121,1,9773403.555737784
3901.0,143.58695652173913,9.016666666666667,46,4.312321216441795,0,8658302.149880169
3961.0,177.5,18.816666666666666,18,5.817265007007502,0,8004729.811229671
4021.0,182.71052631578948,11.433333333333334,38,4.3319800292667505,2,6944584.949871319
4081.0,92.63636363636364,11.1,11,4.498976448110328,0,4646888.601091123
4141.0,162.375,14.666666666666666,24,4.45346812739436,0,7563681.718934661
4201.0,101.04,9.55,25,4.8046371545457935,0,4609921.753915357
4261.0,213.85714285714286,19.366666666666667,7,3.6278506537630975,0,6858151.506628853
4321.0,130.28205128205127,8.733333333333333,39,5.1109547427225905,0,5507765.732727462
4381.0,34.0,22.283333333333335,1,3.285783865685388,0,6074451.033026714
4441.0,157.0,7.133333333333334,43,4.778940199452268,0,6377125.598795551
4501.0,33.0,16.233333333333334,2,4.534961355562461,0,5852409.650155704
4561.0,156.60526315789474,11.766666666666667,38,4.649176329291223,0,7454642.283626858
4621.0,82.41666666666667,13.05,12,4.654839555799875,0,5037182.479235895
4681.0,157.69230769230768,16.9,26,4.67362255981567,0,8581341.601719996
4741.0,102.0,8.366666666666667,31,5.2394798133470575,0,4920575.549855765
4801.0,146.33333333333334,18.9,6,4.092141122574242,0,7418091.171794473
4861.0,132.70454545454547,4.033333333333333,44,5.697375256179074,0,5106753.153780965
4921.0,nan,15.966666666666667,0,2.3995540628548238,0,3073419.8489071825
4981.0,204.72727272727272,0.23333333333333334,22,6.512172965047683,0,2037307.9066061887
5041.0,nan,4.583333333333333,0,2.7782733712528995,0,580054.9197119244
