time,travel_time,queue,throughput,speed,spillback,co2_rate_mg
1.0,nan,0.0,0,0.0,0,12168.0
61.0,28.285714285714285,9.716666666666667,7,6.46675688987904,0,6648122.962435497
121.0,37.1764705882353,38.583333333333336,17,5.766923341569889,0,14382294.75574728
181.0,109.57971014492753,38.38333333333333,69,5.203954355454906,0,17097313.962738518
241.0,96.20930232558139,53.266666666666666,43,5.109838067202808,4,17750819.349229522
301.0,125.74137931034483,55.21666666666667,58,4.876253463369599,0,21289270.327085752
361.0,139.98529411764707,53.86666666666667,68,4.695743063446071,5,20325489.47032747
421.0,109.525,86.11666666666666,40,3.999297961890874,0,23407696.179076534
481.0,172.85,65.71666666666667,80,3.9559374820419944,3,22262130.83996752
541.0,114.5,118.28333333333333,34,3.1498185618135555,41,25172823.089875113
601.0,199.92,90.08333333333333,75,3.418319880119044,45,25725364.697018456
661.0,130.31578947368422,138.41666666666666,38,2.6566556183980423,60,26982917.724068765
721.0,206.98611111111111,112.48333333333333,72,3.009536213719187,60,28942759.434932146
781.0,171.14285714285714,146.1,35,2.361138124463606,60,27705638.743135553
841.0,176.69354838709677,156.41666666666666,62,2.8381113419547463,60,32385088.349094726
901.0,257.6296296296296,137.78333333333333,54,2.4571425785796905,60,28547897.6140865
961.0,190.4,161.05,45,2.193092390964547,60,30850474.145509582
1021.0,281.3380281690141,119.08333333333333,71,2.65579524909585,60,29323772.646687124
1081.0,183.31428571428572,159.36666666666667,35,2.067374865809998,60,29150791.17412918
1141.0,290.84,110.28333333333333,75,3.2454491886774237,60,29334797.32582908
1201.0,144.54285714285714,144.0,35,2.01529922946206,60,26814216.05998445
1261.0,297.7,114.31666666666666,60,2.6566489297600637,60,27920122.223345965
1321.0,306.37142857142857,129.9,35,2.266923331179792,60,25875779.78548714
1381.0,302.9824561403509,129.35,57,2.3825644230003635,60,27849619.377373286
1441.0,266.38461538461536,121.25,39,2.5170694528328186,60,26692748.74250092
1501.0,252.29090909090908,139.55,55,2.710306494770112,60,29019183.760262307
1561.0,326.56363636363636,118.16666666666667,55,2.810197766019668,60,27643644.006577153
1621.0,184.26666666666668,140.38333333333333,45,2.4326428362207517,56,28264265.499428827
1681.0,367.55384615384617,115.38333333333334,65,2.839761350117978,60,29031945.278565537
1741.0,135.02702702702703,130.65,37,2.307197004247266,57,27609862.74961017
